"Category","ServerName","TaskPath","TaskName","State","RunAs","Actions","LastRunTime","LastResult","NextRunTime","Author","Description"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Application Experience\","StartupAppTask","Ready",,"%windir%\system32\rundll32.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Scans startup entries and raises notification to the user if there are too many startup entries."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\ApplicationData\","appuriverifierdaily","Ready",,"%windir%\system32\AppHostRegistrationVerifier.exe","8/17/2026 8:00:00 PM","0","8/18/2026 8:00:00 PM","Microsoft Corporation","Verifies AppUriHandler host registrations."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\ApplicationData\","appuriverifierinstall","Ready",,"%windir%\system32\AppHostRegistrationVerifier.exe","11/30/1999 6:00:00 PM","267011","8/22/2026 8:00:00 PM","Microsoft Corporation","Verifies AppUriHandler host registrations."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\ApplicationData\","CleanupTemporaryState","Ready","SYSTEM","%windir%\system32\rundll32.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Cleans up each package's unused temporary files."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\ApplicationData\","DsSvcCleanup","Ready","SYSTEM","%windir%\system32\dstokenclean.exe","8/14/2026 3:17:17 PM","2147944153",,"Microsoft Corporation","Performs maintenance for the Data Sharing Service."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\AppxDeploymentClient\","Pre-staged app cleanup","Disabled","SYSTEM","%windir%\system32\rundll32.exe","8/11/2026 10:14:14 PM","0",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Autochk\","Proxy","Ready","SYSTEM","%windir%\system32\rundll32.exe","8/14/2026 3:47:47 PM","0",,"Microsoft Corporation","This task collects and uploads autochk SQM data if opted-in to the Microsoft Customer Experience Improvement Program."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Bluetooth\","UninstallDeviceTask","Ready","SYSTEM","BthUdTask.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft","Uninstalls the PnP device associated with the specified Bluetooth service ID"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\CertificateServicesClient\","AikCertEnrollTask","Ready","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","This task enrolls a certificate for Attestation Identity Key."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\CertificateServicesClient\","CryptoPolicyTask","Ready","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","This task synchronizes cryptographic policy."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\CertificateServicesClient\","KeyPreGenTask","Ready","SYSTEM","CimInstance","8/17/2026 8:24:24 PM","2148073520",,"Microsoft Corporation","This task pre-generates TPM based Attestation Identity Key (AIK) and Storage Key (SK)."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\CertificateServicesClient\","SystemTask","Ready","SYSTEM","CimInstance","8/17/2026 3:07:07 PM","0",,"Microsoft Corporation","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\CertificateServicesClient\","UserTask","Ready",,"CimInstance","8/17/2026 5:47:47 PM","0",,"Microsoft Corporation","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\CertificateServicesClient\","UserTask-Roam","Ready",,"CimInstance","8/17/2026 8:41:41 PM","0",,"Microsoft Corporation","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Chkdsk\","ProactiveScan","Ready","SYSTEM","CimInstance","8/14/2026 3:17:17 PM","0",,"Microsoft Corporation","NTFS Volume Health Scan"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Clip\","License Validation","Disabled","SYSTEM","%SystemRoot%\system32\ClipUp.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Windows Store legacy license migration task"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\CloudExperienceHost\","CreateObjectTask","Ready","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Customer Experience Improvement Program\","Consolidator","Ready","SYSTEM","%SystemRoot%\System32\wsqmcons.exe","8/17/2026 5:00:00 PM","0","8/17/2026 11:00:00 PM","Microsoft Corporation","If the user has consented to participate in the Windows Customer Experience Improvement Program, this job collects and sends usage data to Microsoft."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Customer Experience Improvement Program\","KernelCeipTask","Ready","LOCAL SERVICE","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","The Kernel CEIP (Customer Experience Improvement Program) task collects additional information about the system and sends this data to Microsoft.  If the user has not consented to participate in Windows CEIP, this task does nothing."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Customer Experience Improvement Program\","UsbCeip","Ready","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","The USB CEIP (Customer Experience Improvement Program) task collects Universal Serial Bus related statistics and information about your machine and sends it to the Windows Device Connectivity engineering group at Microsoft.  The information received is used to help improve the reliability, stability, and overall functionality of USB in Windows.  If the user has not consented to participate in Windows CEIP, this task does not do anything."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Data Integrity Scan\","Data Integrity Scan","Ready","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011","8/28/2026 12:34:34 PM","Microsoft Corporation","Scans fault-tolerant volumes for latent corruptions"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Data Integrity Scan\","Data Integrity Scan for Crash Recovery","Ready","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Scans fault-tolerant volumes for fast crash recovery"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Defrag\","ScheduledDefrag","Ready","SYSTEM","%windir%\system32\defrag.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","This task optimizes local storage drives."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Device Information\","Device","Ready","SYSTEM","%windir%\system32\devicecensus.exe","8/17/2026 8:39:39 PM","0","8/18/2026 8:24:24 PM",,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Device Setup\","Metadata Refresh","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Performs a device metadata refresh on a periodic basis"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Diagnosis\","Scheduled","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","The Windows Scheduled Maintenance Task performs periodic maintenance of the computer system by fixing problems automatically or reporting them through Security and Maintenance."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\DiskCleanup\","SilentCleanup","Ready",,"%windir%\system32\cleanmgr.exe","8/11/2026 9:14:14 PM","2147946720",,"Microsoft Corporation","Maintenance task used by the system to launch a silent auto disk cleanup when running low on free disk space."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\DiskDiagnostic\","Microsoft-Windows-DiskDiagnosticDataCollector","Ready","SYSTEM","%windir%\system32\rundll32.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","The Windows Disk Diagnostic reports general disk and system information to Microsoft for users participating in the Customer Experience Program."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\DiskDiagnostic\","Microsoft-Windows-DiskDiagnosticResolver","Disabled",,"%windir%\system32\DFDWiz.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","The Microsoft-Windows-DiskDiagnosticResolver warns users about faults reported by hard disks that support the Self Monitoring and Reporting Technology (S.M.A.R.T.) standard. This task is triggered automatically by the Diagnostic Policy Service when a S.M.A.R.T. fault is detected."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\DiskFootprint\","Diagnostics","Ready","SYSTEM","%windir%\system32\disksnapshot.exe","8/14/2026 3:17:17 PM","1",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\DiskFootprint\","StorageSense","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\EDP\","EDP App Launch Task","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\EDP\","EDP Auth Task","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\ErrorDetails\","EnableErrorDetailsUpdate","Ready","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,"$(@%SystemRoot%\system32\ErrorDetailsUpdate.dll,-600)","$(@%SystemRoot%\system32\ErrorDetailsUpdate.dll,-601)"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\ErrorDetails\","ErrorDetailsUpdate","Disabled","NETWORK SERVICE","CimInstance","11/30/1999 6:00:00 PM","267011",,"$(@%systemroot%\system32\ErrorDetailsUpdate.dll,-600)","$(@%SystemRoot%\system32\ErrorDetailsUpdate.dll,-601)"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\LanguageComponentsInstaller\","Installation","Ready",,"CimInstance","8/17/2026 3:17:17 PM","0",,"Microsoft Corporation","Install language components that match the user's language list."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\LanguageComponentsInstaller\","Uninstallation","Ready","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Uninstall language components that are not in any user's language list."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\License Manager\","TempSignedLicenseExchange","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Exchanges temporary preinstalled licenses for Windows Store licenses."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Location\","Notifications","Ready",,"%windir%\System32\LocationNotificationWindows.exe","11/30/1999 6:00:00 PM","267011",,,"Location Notification"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Location\","WindowsActionDialog","Ready",,"%windir%\System32\WindowsActionDialog.exe","11/30/1999 6:00:00 PM","267011",,,"Location Notification"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Maintenance\","WinSAT","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft","Measures a system's performance and capabilities"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Maps\","MapsToastTask","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","This task shows various Map related toasts"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Maps\","MapsUpdateTask","Disabled","NETWORK SERVICE","CimInstance","11/30/1999 6:00:00 PM","267011","8/18/2026 5:00:00 PM","Microsoft Corporation","This task checks for updates to maps which you have downloaded for offline use. Disabling this task will prevent Windows from notifying you of updated maps."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\MemoryDiagnostic\","ProcessMemoryDiagnosticEvents","Disabled",,"CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Schedules a memory diagnostic in response to system events."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\MemoryDiagnostic\","RunFullMemoryDiagnostic","Disabled",,"CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Detects and mitigates problems in physical memory (RAM)."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Mobile Broadband Accounts\","MNO Metadata Parser","Ready","SYSTEM","%SystemRoot%\System32\MbaeParserTask.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft","Mobile Broadband Account Experience Metadata Parser"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\MUI\","LPRemove","Ready","SYSTEM","%windir%\system32\lpremove.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Launch language cleanup tool"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Multimedia\","SystemSoundsService","Disabled",,"CimInstance","11/30/1999 6:00:00 PM","267011",,,"System Sounds User Mode Agent"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\NetTrace\","GatherNetworkInfo","Ready",,"%windir%\system32\gatherNetworkInfo.vbs","11/30/1999 6:00:00 PM","267011",,"Microsoft","Network information collector"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Network Controller\","SDN Diagnostics Task","Disabled","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011","8/17/2026 9:30:30 PM","Microsoft Corporation","This task manages SDN diagnostics logs."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Offline Files\","Background Synchronization","Disabled",,"CimInstance","11/30/1999 6:00:00 PM","267011","8/17/2026 11:18:18 PM","Microsoft Corporation","This task controls periodic background synchronization of Offline Files when the user is working in an offline mode."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Offline Files\","Logon Synchronization","Disabled",,"CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","This task initiates synchronization of Offline Files when a user logs onto the system."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\PI\","Secure-Boot-Update","Ready","SYSTEM","CimInstance","8/11/2026 8:45:45 PM","0",,"Microsoft Corporation","This task updates the Secure Boot variables."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\PI\","Sqm-Tasks","Ready","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","This task gathers information about the Trusted Platform Module (TPM), Secure Boot, and Measured Boot."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\PLA\","Server Manager Performance Monitor","Disabled","SYSTEM","%systemroot%\system32\rundll32.exe","11/30/1999 6:00:00 PM","267011",,"The major version number of the operating system.",
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Plug and Play\","Device Install Group Policy","Ready","SYSTEM","CimInstance","8/13/2026 2:49:49 PM","0",,"Microsoft Corporation","Device Installation Group Policy Change Handler"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Plug and Play\","Device Install Reboot Required","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Displays a dialog box that asks the user to restart Windows if it is required to complete installation of a device"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Plug and Play\","Plug and Play Cleanup","Ready","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Windows keeps copies of all previously installed device driver packages from Windows Update and other sources, even after installing newer versions of drivers. This task will remove older versions of drivers that are no longer needed. The most current version of each driver package will be kept. This task will also remove state used by devices that have not been detected on this system for a long period of time."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Plug and Play\","Sysprep Generalize Drivers","Ready","SYSTEM","%SystemRoot%\System32\drvinst.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Generalize driver state in order to prepare the system to be bootable on any hardware configuration."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Power Efficiency Diagnostics\","AnalyzeSystem","Ready","SYSTEM","CimInstance","8/14/2026 3:27:27 PM","0",,"Microsoft Corporation","This task analyzes the system looking for conditions that may cause high energy use."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Ras\","MobilityManager","Ready","LOCAL SERVICE","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Provides support for the switching of mobility enabled VPN connections if their underlying interface goes down."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\RecoveryEnvironment\","VerifyWinRE","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Validates the Windows Recovery Environment."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Registry\","RegIdleBackup","Ready","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Registry Idle Backup Task"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Server Manager\","CleanupOldPerfLogs","Ready","SYSTEM","%systemroot%\system32\cscript.exe","11/30/1999 6:00:00 PM","267011",,"The major version number of the operating system.",
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Server Manager\","ServerManager","Ready",,"%windir%\system32\ServerManagerLauncher.exe","8/17/2026 9:47:47 AM","0",,"Microsoft Corporation","Task for launching Initial Configuration Tasks or Server Manager at logon."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Servicing\","StartComponentCleanup","Ready","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\SettingSync\","BackgroundUploadTask","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\SettingSync\","BackupTask","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\SettingSync\","NetworkStateChangeTask","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Shell\","CreateObjectTask","Ready","SYSTEM","CimInstance","8/11/2026 8:48:48 PM","2147946720",,"Microsoft Corporation","Provides support for shell components that access system data"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Shell\","IndexerAutomaticMaintenance","Ready","LOCAL SERVICE","CimInstance","8/14/2026 3:17:17 PM","1",,"Microsoft Corporation","Keeps the search index up to date"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Software Inventory Logging\","Collection","Disabled","SYSTEM","%systemroot%\system32\cmd.exe","11/30/1999 6:00:00 PM","267011","8/17/2026 10:05:05 PM",,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Software Inventory Logging\","Configuration","Ready","SYSTEM","%systemroot%\system32\cmd.exe","8/14/2026 3:08:08 PM","0",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\SoftwareProtectionPlatform\","SvcRestartTask","Ready","NETWORK SERVICE","CimInstance","11/30/1999 6:00:00 PM","267011","8/18/2026 8:38:38 PM","Microsoft Corporation","This task restarts the Software Protection Platform service at the specified time"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\SoftwareProtectionPlatform\","SvcRestartTaskLogon","Disabled",,"CimInstance","8/11/2026 8:45:45 PM","0",,"Microsoft Corporation","This task restarts the Software Protection Platform service when user logon occurs"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\SoftwareProtectionPlatform\","SvcRestartTaskNetwork","Disabled","NETWORK SERVICE","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","This task restarts the Software Protection Platform service when a new network is detected"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\SpacePort\","SpaceAgentTask","Ready","SYSTEM","%windir%\system32\SpaceAgent.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Storage Spaces Settings"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\SpacePort\","SpaceManagerTask","Ready","SYSTEM","%windir%\system32\spaceman.exe","11/30/1999 6:00:00 PM","267011",,"$(@%SystemRoot%\system32\spaceman.exe,-2)","$(@%SystemRoot%\system32\spaceman.exe,-3)"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Speech\","SpeechModelDownloadTask","Ready","NETWORK SERVICE","%windir%\system32\speech_onecore\common\SpeechModelDownload.exe","8/17/2026 5:00:00 PM","0","8/18/2026 5:00:00 PM",,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Storage Tiers Management\","Storage Tiers Management Initialization","Ready","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Initializes the Storage Tiers Management service when the first tiered storage space is detected on the system. Do not remove or modify this task."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Storage Tiers Management\","Storage Tiers Optimization","Disabled","SYSTEM","%windir%\system32\defrag.exe","11/30/1999 6:00:00 PM","267011","8/17/2026 10:00:00 PM","Microsoft Corporation","Optimizes the placement of data in storage tiers on all tiered storage spaces in the system."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Task Manager\","Interactive","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Runs a task as the interactive user."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\TextServicesFramework\","MsCtfMonitor","Running",,"CimInstance","8/17/2026 9:47:47 AM","267009",,,"TextServicesFramework monitor task"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Time Synchronization\","ForceSynchronizeTime","Ready","LOCAL SERVICE","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","This task performs time synchronization."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Time Zone\","SynchronizeTimeZone","Ready","SYSTEM","%windir%\system32\tzsync.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Updates timezone information. If this task is stopped, local time may not be accurate for some time zones."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\TPM\","Tpm-HASCertRetr","Ready","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","This task requests a Health Attestation Certificate."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\TPM\","Tpm-Maintenance","Ready","SYSTEM","CimInstance","8/14/2026 3:07:07 PM","0",,"Microsoft Corporation","This task supports the Trusted Platform Module (TPM) by performing background actions on behalf of the OS."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\UpdateOrchestrator\","Maintenance Install","Disabled","SYSTEM","%systemroot%\system32\usoclient.exe","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\UpdateOrchestrator\","MusUx_UpdateInterval","Ready","SYSTEM","%systemroot%\system32\MusNotification.exe","8/17/2026 9:47:47 AM","0","8/18/2026 12:47:47 PM",,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\UpdateOrchestrator\","Policy Install","Disabled","SYSTEM","%systemroot%\system32\usoclient.exe","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\UpdateOrchestrator\","Reboot","Ready","SYSTEM","%systemroot%\system32\MusNotification.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","This task triggers a system reboot following update installation."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\UpdateOrchestrator\","Refresh Settings","Ready","SYSTEM","%systemroot%\system32\usoclient.exe","8/17/2026 6:50:50 PM","0","8/18/2026 7:04:04 PM","Microsoft Corporation","This task downloads settings for Windows Updates."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\UpdateOrchestrator\","Resume On Boot","Disabled","SYSTEM","%systemroot%\system32\usoclient.exe","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\UpdateOrchestrator\","Schedule Scan","Ready","SYSTEM","%systemroot%\system32\usoclient.exe","8/17/2026 5:17:17 PM","0","8/18/2026 6:46:46 PM","Microsoft Corporation","This task performs a scheduled Windows Update scan."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\UpdateOrchestrator\","USO_UxBroker_Display","Ready","SYSTEM","%systemroot%\system32\MusNotification.exe","8/17/2026 5:17:17 PM","1",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\UpdateOrchestrator\","USO_UxBroker_ReadyToReboot","Ready","SYSTEM","%systemroot%\system32\MusNotification.exe","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\UPnP\","UPnPHostConfig","Ready","SYSTEM","sc.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft","Set UPnPHost service to Auto-Start"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\User Profile Service\","HiveUploadTask","Disabled","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011","8/18/2026 5:53:53 AM","Microsoft Corporation","This task will automatically upload a roaming user profile's registry hive to its network location."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\WDI\","ResolutionHost","Ready",,"CimInstance","8/11/2026 10:59:59 PM","0",,"Microsoft Corporation","The Windows Diagnostic Infrastructure Resolution host enables interactive resolutions for system problems detected by the Diagnostic Policy Service. It is triggered when necessary by the Diagnostic Policy Service in the appropriate user session. If the Diagnostic Policy Service is not running, the task will not run"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Windows Defender\","Windows Defender Cache Maintenance","Ready","SYSTEM","%ProgramFiles%\Windows Defender\MpCmdRun.exe","8/14/2026 3:17:17 PM","0",,,"Periodic maintenance task."
